Auckland,Christchurch,Dunedin,Hamilton,Lower Hutt,North Shore,Tauranga,Waitakere,Wellington
11.42,7.26,3.359,9.289,9.18,11.42,9.853,11.42,9.18
11.711,7.51,5.104,10.231,9.488,11.711,10.314,11.711,9.488
13.294,9.465,7.834,12.372000000000002,11.432,13.294,12.294,13.294,11.432
14.764,10.354,9.42,14.083,12.308,14.764,13.643,14.764,12.308
16.331,12.284,11.380999999999998,15.893999999999998,14.083,16.331,15.377,16.331,14.083
19.161,14.817,14.217,18.913,16.523,19.161,17.871,19.161,16.523
20.013,13.762,12.403,19.521,16.604000000000006,20.013,18.322,20.013,16.604000000000006
17.869,12.862,11.529000000000002,16.845,14.914,17.869,15.716,17.869,14.914
16.657999999999998,11.257,7.837000000000001,15.043,13.92,16.657999999999998,14.634,16.657999999999998,13.92
15.151,9.293,4.842,12.765,12.216,15.151,13.062,15.151,12.216
12.88,6.222,0.413,10.057,9.561,12.88,10.699000000000002,12.88,9.561
12.225,6.353,0.929,9.442,9.055,12.225,10.081,12.225,9.055
11.095999999999998,5.962999999999999,1.825,8.795,8.392999999999999,11.095999999999998,9.252,11.095999999999998,8.392999999999999
12.625,8.722999999999999,6.377999999999999,11.215,10.481000000000002,12.625,11.182,12.625,10.481000000000002
12.96,9.39,8.19,12.198,11.01,12.96,11.837000000000002,12.96,11.01
15.625,12.039,11.151,15.245,14.002,15.625,14.399,15.625,14.002
18.678,14.597,13.853,18.64,17.177,18.678,17.765,18.678,17.177
17.892,12.893,11.808,17.637999999999995,15.354,17.892,16.579,17.892,15.354
18.163,13.015999999999998,12.17,17.85,15.446000000000002,18.163,16.317,18.163,15.446000000000002
18.289,12.816,10.573,17.488999999999994,15.804,18.289,16.497,18.289,15.804
15.644999999999998,9.948,6.9670000000000005,14.0,12.715,15.644999999999998,13.462,15.644999999999998,12.715
14.643999999999998,9.439,4.731,12.348,12.079,14.643999999999998,12.556,14.643999999999998,12.079
13.043,7.667999999999999,2.326,10.282,10.33,13.043,10.757,13.043,10.33
11.461,5.75,0.5210000000000001,8.610999999999999,8.389999999999999,11.461,9.175999999999998,11.461,8.389999999999999
11.867,7.439999999999999,3.01,9.705,9.628,11.867,9.992,11.867,9.628
12.336,7.617000000000001,5.003,10.885,9.842,12.336,10.805,12.336,9.842
13.547,10.241,8.869,12.818,11.838,13.547,12.318,13.547,11.838
15.204,10.97,9.657,14.666,13.149,15.204,14.055,15.204,13.149
17.726,13.595,12.752,17.439999999999998,15.449000000000002,17.726,16.511,17.726,15.449000000000002
19.069000000000003,14.025,12.659,18.78,16.468,19.069000000000003,18.047,19.069000000000003,16.468
19.061,13.285,12.24,18.49,15.934,19.061,17.396,19.061,15.934
18.514,12.809,10.909,17.421,15.275,18.514,16.529999999999998,18.514,15.275
16.133999999999997,10.427,7.699,14.226,12.767,16.133999999999997,13.825,16.133999999999997,12.767
14.339,7.603999999999999,3.052,11.769,10.630999999999998,14.339,11.778,14.339,10.630999999999998
12.311,5.517,0.052,9.332,8.716000000000001,12.311,9.722,12.311,8.716000000000001
11.217,5.528,0.5240000000000001,8.290999999999999,7.981,11.217,8.790999999999999,11.217,7.981
12.111,7.042000000000001,2.603,9.846,9.371,12.111,10.263,12.111,9.371
12.738,7.142,4.217,11.169,9.886,12.738,11.189,12.738,9.886
12.758,8.649000000000001,7.109,11.921,10.729,12.758,11.594,12.758,10.729
15.013,11.183,9.837,14.591,13.382,15.013,14.018,15.013,13.382
16.6,12.966,12.392,16.333,14.795,16.6,15.313,16.6,14.795
18.1,14.04,13.185,17.988,16.5,18.1,17.092,18.1,16.5
19.389,13.593,12.522,18.993,16.474,19.389,17.817,19.389,16.474
17.96,12.566,10.708,17.000999999999998,15.306,17.96,16.229,17.96,15.306
17.362000000000002,11.724,8.584,15.694,14.316,17.362000000000002,15.005,17.362000000000002,14.316
14.552,8.471,3.927,12.097,11.314,14.552,12.125,14.552,11.314
12.935,6.464,1.0750000000000002,10.056,9.635,12.935,10.531,12.935,9.635
12.422,6.359,1.1010000000000002,9.552,9.034,12.422,10.086,12.422,9.034
11.279000000000002,6.134,1.93,8.993,8.533999999999999,11.279000000000002,9.33,11.279000000000002,8.533999999999999
11.549,7.57,5.022,10.039,9.27,11.549,9.896,11.549,9.27
13.237,8.956,7.308,12.296,11.167,13.237,11.925999999999998,13.237,11.167
14.331,9.609,8.68,13.778,12.129,14.331,13.152,14.331,12.129
17.590999999999998,13.564,12.779000000000002,17.433999999999994,15.734000000000002,17.590999999999998,16.602999999999998,17.590999999999998,15.734000000000002
18.538,14.011,13.617,18.447,16.184,18.538,16.967,18.538,16.184
18.995,14.449000000000002,13.536,18.623,16.85,18.995,17.601,18.995,16.85
18.629,13.35,11.374,17.823999999999995,15.954,18.629,17.067,18.629,15.954
16.628999999999998,10.989,7.923999999999999,14.884,13.508,16.628999999999998,14.577,16.628999999999998,13.508
14.604,9.026,4.499,12.273,11.84,14.604,12.599,14.604,11.84
12.807,6.497000000000001,1.16,10.08,9.386,12.807,10.54,12.807,9.386
12.167,5.382999999999999,0.036,9.129,8.283,12.167,9.728,12.167,8.283
11.792,6.854,2.664,9.58,9.213,11.792,10.03,11.792,9.213
12.533,8.087,5.533,11.173,10.505999999999998,12.533,11.268,12.533,10.505999999999998
14.711,11.179,9.91,14.047,13.245,14.711,13.485,14.711,13.245
16.021,12.041,11.074000000000002,15.638,14.354,16.021,14.773,16.021,14.354
16.529,13.329,12.856,16.477999999999998,15.26,16.529,15.474,16.529,15.26
18.091,13.956,13.093,18.118,16.674,18.091,17.343,18.091,16.674
18.606,13.671,12.792,18.303,16.455000000000002,18.606,17.541999999999998,18.606,16.455000000000002
18.318,12.31,10.45,17.272000000000002,15.48,18.318,16.487000000000002,18.318,15.48
15.521999999999998,9.724,6.789,13.662,12.33,15.521999999999998,13.421,15.521999999999998,12.33
13.672,7.148999999999999,2.6630000000000003,11.106,10.187,13.672,11.486,13.672,10.187
12.345999999999998,7.026,1.725,9.602,9.655,12.345999999999998,10.294,12.345999999999998,9.655
